"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 18:27:44 MSK 2022","Wed Jun 22 18:27:49 MSK 2022","4822","test","test_del_contact_from_group","","","","test_del_contact_from_group",""
"passed","Wed Jun 22 18:27:10 MSK 2022","Wed Jun 22 18:27:12 MSK 2022","2121","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Wed Jun 22 18:27:38 MSK 2022","Wed Jun 22 18:27:39 MSK 2022","1273","test","test_contact_phones","","","","test_phones_on_home_page",""
"passed","Wed Jun 22 18:27:12 MSK 2022","Wed Jun 22 18:27:20 MSK 2022","7507","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Wed Jun 22 18:27:31 MSK 2022","Wed Jun 22 18:27:33 MSK 2022","2609","test","test_add_group","","","","test_add_group[None:nameP;headerpY6YUhy 3YK;footerg2]",""
"passed","Wed Jun 22 18:26:33 MSK 2022","Wed Jun 22 18:26:35 MSK 2022","2195","test","test_add_contact","test_add_contact[None","","","test_add_contact[None::]",""
"passed","Wed Jun 22 18:27:04 MSK 2022","Wed Jun 22 18:27:10 MSK 2022","5754","test","test_add_contact","","","","test_add_contact[None:namej9Xc:lastntuU ]",""
"passed","Wed Jun 22 18:28:05 MSK 2022","Wed Jun 22 18:28:08 MSK 2022","3394","test","test_edit_group","","","","test_edit_some_group",""
"passed","Wed Jun 22 18:26:56 MSK 2022","Wed Jun 22 18:27:00 MSK 2022","3918","test","test_add_contact","","","","test_add_contact[None:name We:lastnf yEWaNqe7]",""
"passed","Wed Jun 22 18:27:40 MSK 2022","Wed Jun 22 18:27:42 MSK 2022","1938","test","test_db_matches_ui","","","","test_group_list",""
"passed","Wed Jun 22 18:27:42 MSK 2022","Wed Jun 22 18:27:44 MSK 2022","2409","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Wed Jun 22 18:26:40 MSK 2022","Wed Jun 22 18:26:44 MSK 2022","3891","test","test_add_contact","","","","test_add_contact[None:name d:lastneaM]",""
"passed","Wed Jun 22 18:27:49 MSK 2022","Wed Jun 22 18:27:55 MSK 2022","6130","test","test_del_group","","","","test_delete_some_group",""
"failed","Wed Jun 22 18:27:36 MSK 2022","Wed Jun 22 18:27:37 MSK 2022","1242","test","test_contact_home_page","","","","test_contacts_on_home_page",""
"passed","Wed Jun 22 18:26:48 MSK 2022","Wed Jun 22 18:26:52 MSK 2022","3864","test","test_add_contact","","","","test_add_contact[None:nameh:lastn  tyNu r0]",""
"passed","Wed Jun 22 18:27:00 MSK 2022","Wed Jun 22 18:27:04 MSK 2022","3996","test","test_add_contact","","","","test_add_contact[None:name66zwaLIj:lastns  yjcZS M0z]",""
"passed","Wed Jun 22 18:27:55 MSK 2022","Wed Jun 22 18:28:05 MSK 2022","9058","test","test_edit_contact","","","","test_edit_some_contact",""
"passed","Wed Jun 22 18:26:52 MSK 2022","Wed Jun 22 18:26:56 MSK 2022","3885","test","test_add_contact","","","","test_add_contact[None:name4uHj:lastnI  Uk VIYl]",""
"passed","Wed Jun 22 18:26:36 MSK 2022","Wed Jun 22 18:26:40 MSK 2022","3941","test","test_add_contact","","","","test_add_contact[None:Albina:Gurova]",""
"failed","Wed Jun 22 18:27:37 MSK 2022","Wed Jun 22 18:27:38 MSK 2022","368","test","test_contact_home_page","","","","test_some_contact_on_home_page",""
"broken","Wed Jun 22 18:27:39 MSK 2022","Wed Jun 22 18:27:40 MSK 2022","748","test","test_contact_phones","","","","test_phones_on_contact_view_page",""
"passed","Wed Jun 22 18:27:28 MSK 2022","Wed Jun 22 18:27:31 MSK 2022","2574","test","test_add_group","","","","test_add_group[None:nameHtni;headerz;footerVZqSohH]",""
"passed","Wed Jun 22 18:27:23 MSK 2022","Wed Jun 22 18:27:25 MSK 2022","2311","test","test_add_group","","","","test_add_group[None:name NBj;headerAHBi ;footert X 1pbi  oYEst2]",""
"passed","Wed Jun 22 18:27:25 MSK 2022","Wed Jun 22 18:27:28 MSK 2022","2953","test","test_add_group","","","","test_add_group[None:name;headerFSksnA wPxDDy;footer8uO Hmaqq ]",""
"passed","Wed Jun 22 18:26:44 MSK 2022","Wed Jun 22 18:26:48 MSK 2022","3940","test","test_add_contact","","","","test_add_contact[None:nameelh:lastnl  ]",""
"passed","Wed Jun 22 18:27:20 MSK 2022","Wed Jun 22 18:27:23 MSK 2022","2719","test","test_add_group","","","","test_add_group[None:test_group_name;test_group_header;test_group_footer]",""
"failed","Wed Jun 22 18:27:42 MSK 2022","Wed Jun 22 18:27:42 MSK 2022","1","test","test_db_matches_ui","","","","test_contact_list",""
"passed","Wed Jun 22 18:27:33 MSK 2022","Wed Jun 22 18:27:36 MSK 2022","2672","test","test_add_group","","","","test_add_group[None:nameFLvGU;headere9 b;footerl8nozdKQmSO3 Qeb W]",""
